threshold,signal_time,eow_time,vix_band,bond_direction,n,mean,std,t_stat,p_value,ci_low_95,ci_high_95,hit_rate,by_year_min,verdict_simple,verdict_nuanced
0.0075,10:30,15:55,high,down,2,0.003174785383536105,0.0009589144519267183,4.682195098842611,0.13395355954928956,-0.00544071914479851,0.01179028991187072,1.0,0.002496730472000941,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,11:00,15:55,high,down,8,0.0017468649282919024,0.0015033276529579415,3.286628923992031,0.013364434945183122,0.0004900515583545735,0.0030036782982292313,1.0,0.000622432466077516,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.005,10:30,15:55,high,down,6,0.0019001636442571024,0.0017007975425710148,2.736616933948172,0.040956509032557764,0.00011528608683557175,0.003685041201678633,0.8333333333333334,0.0014252141567849541,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.0075,11:00,15:55,high,down,3,0.001965037912939153,0.0012890859684391172,2.6402781407440847,0.1184892967454113,-0.0012372291549486544,0.005167304980826961,1.0,0.000622432466077516,EDGE_PRESENT,EDGE_PRESENT_CONTINUATION
0.001,10:00,15:55,low,up,31,-0.0017790957185387583,0.004711832125859809,-2.102279002127227,0.04402773905400088,-0.003507409695617276,-5.078174146024039e-05,0.2903225806451613,-0.0026117827461349754,NO_EDGE,EDGE_PRESENT_MEAN_REVERSION
0.0075,11:00,15:55,high,up,2,-0.00251105843082422,0.0019217381553717442,-1.847896332211799,0.3157810836712966,-0.01977719071886274,0.0147550738572143,0.0,-0.00251105843082422,NO_EDGE,NO_EDGE
0.0025,10:30,15:55,high,down,19,0.0013429658763793114,0.0032341509559894533,1.8100121544790517,0.08702229553314829,-0.00021584498684882897,0.0029017767396074517,0.7894736842105263,0.0006568074013875713,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,10:00,15:55,high,up,4,0.001565077314241159,0.0018295286569877296,1.7109076791593056,0.18562353900915213,-0.0013461110431794731,0.0044762656716617905,0.75,-0.000745434215430496,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,10:30,15:55,high,up,5,0.0022721811132568213,0.0029955153766489328,1.6961192942088017,0.16510416890653587,-0.001447242485993947,0.00599160471250759,0.8,-0.0014484356894554073,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,low,down,22,0.0010023716185460446,0.004202230680034306,1.1188199779622057,0.27585199102403346,-0.0008607930876180277,0.002865536324710117,0.6818181818181818,0.0008630278528771026,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,11:00,15:55,low,up,13,-0.0015948905500575193,0.005625083561660402,-1.0222887525048503,0.3268120370006805,-0.00499409452629794,0.0018043134261829016,0.38461538461538464,-0.0026091332024743286,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,high,down,29,-0.0010020427796590269,0.005509111464862398,-0.9794983359259017,0.33572170461015255,-0.0030975967085971833,0.0010935111492791296,0.6206896551724138,-0.001658703146017637,NO_EDGE,NO_EDGE
0.001,10:30,15:55,high,down,33,0.000659821214616523,0.004076515190021481,0.9298099298532128,0.35943110206020407,-0.0007856482191062552,0.002105290648339301,0.696969696969697,0.0004597482944368236,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,low,down,33,0.00043014921843289385,0.0036191844902468406,0.6827557808412793,0.49967450413598985,-0.0008531578003808382,0.001713456237246626,0.5454545454545454,5.430247250356087e-06,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.005,11:00,15:55,low,up,2,0.0031130224448138732,0.006455670270988231,0.6819553007860948,0.6189751135898262,-0.05488887370075046,0.06111491859037821,0.5,-0.0014518257809063018,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,high,up,17,0.0007239091740720375,0.004467988647325476,0.6680307905077861,0.5136358862437294,-0.0015733186125449438,0.003021136960689019,0.5882352941176471,-0.001028804058659286,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,high,down,31,-0.0007193949762427018,0.007236615424800265,-0.5534937918348227,0.5840272654835807,-0.0033738069441015964,0.001935016991616193,0.5806451612903226,-0.0014992796215844485,NO_EDGE,NO_EDGE
0.005,11:00,15:55,low,down,2,-0.000760401352538298,0.0020731326490586845,-0.518717365285228,0.6953716256965963,-0.019386759199075797,0.0178659564939992,0.5,-0.002226327506986925,NO_EDGE,NO_EDGE
0.005,11:00,15:55,high,up,11,0.0005678588546475062,0.0036317122491820795,0.5185914041430207,0.6153263155432911,-0.001871958632446033,0.003007676341741045,0.5454545454545454,-0.0006638488254804064,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,high,down,36,-0.00039895844081528725,0.0052252823353264,-0.45810934056297203,0.6497055790950631,-0.0021669396235307185,0.001369022741900144,0.6388888888888888,-0.0008146295354979843,NO_EDGE,NO_EDGE
0.0025,10:00,15:55,high,up,12,-0.0009640080497865707,0.007937995267435643,-0.42068831358099956,0.6820841190633997,-0.006007569620889251,0.004079553521316111,0.5,-0.004165425788552908,NO_EDGE,NO_EDGE
0.001,11:00,15:55,low,down,36,0.00019222715833978733,0.003227535616593196,0.3573509596947992,0.7229749382286151,-0.00089981378231958,0.0012842680989991547,0.5555555555555556,-0.00017968721646923874,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,low,up,35,0.00022051159267642324,0.004371242713195017,0.29844240207347267,0.7671819168097612,-0.0012810628161344323,0.0017220860014872787,0.5428571428571428,-5.540281525113273e-06,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:30,15:55,high,up,31,0.00022837217604597707,0.004619178324893082,0.2752702696924277,0.7849956994032176,-0.0014659561124590065,0.001922700464550961,0.5483870967741935,-0.0013094516275867552,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,10:00,15:55,high,up,26,0.0003440853781884916,0.006469244409310754,0.27120602449336106,0.7884594142294732,-0.002268898987264808,0.002957069743641791,0.6538461538461539,-0.001963984806917507,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.001,11:00,15:55,high,up,28,-0.0002167413464674187,0.004592962548414752,-0.24970536795515574,0.8047052603315263,-0.001997706299310331,0.0015642236063754937,0.5357142857142857,-0.0015793367544890136,NO_EDGE,NO_EDGE
0.005,10:30,15:55,low,down,2,-0.0003101629293262853,0.001974239598963957,-0.22218003398816868,0.8608166196469957,-0.018048001972961164,0.017427676114308593,0.5,-0.0017061611374407093,NO_EDGE,NO_EDGE
0.001,10:30,15:55,low,up,30,0.00018306829905028927,0.004719758103330105,0.21244867800152167,0.8332432618685663,-0.0015793183407469427,0.0019454549388475213,0.5333333333333333,0.00015644221872290753,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,low,up,5,0.0005679116233783032,0.006151568556192115,0.20643336467540227,0.8465343211718548,-0.007070269585327756,0.008206092832084361,0.4,-0.0038989809481613236,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,high,down,12,-0.0004546357793979254,0.008968854030315571,-0.17559707543332065,0.8638012253362007,-0.006153173760353676,0.005243902201557825,0.6666666666666666,-0.0029270151126249643,NO_EDGE,NO_EDGE
0.0025,11:00,15:55,low,down,14,0.00016990423922827062,0.004413544756855136,0.14403919905088927,0.8876784619709277,-0.0023784006350527245,0.002718209113509266,0.5714285714285714,-0.0002623077237201248,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:00,15:55,low,down,6,0.000394358417959928,0.0071716265254975755,0.13469425608523644,0.898107767289204,-0.007131802053920636,0.007920518889840491,0.5,-0.0004970460931595366,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,10:30,15:55,low,up,13,-9.564802446860609e-05,0.005133527349761317,-0.06717873172223929,0.9475457454197447,-0.0031978075547524167,0.0030065115058152043,0.5384615384615384,-0.0013441396689529705,NO_EDGE,NO_EDGE
0.0025,10:30,15:55,low,down,11,9.816379181088413e-05,0.005263405531572261,0.06185585805280164,0.9518964752743804,-0.0034378401579753456,0.0036341677415971142,0.45454545454545453,3.020654781460408e-05,EDGE_PRESENT,EDGE_INCONCLUSIVE
0.0025,11:00,15:55,high,up,23,-5.0155331902856446e-05,0.004805669041153007,-0.050052660668496646,0.9605320817375737,-0.0021282824615279456,0.002027971797722233,0.5652173913043478,-0.0015793367544890136,NO_EDGE,NO_EDGE
